0;Clear sky
1;Mainly clear. Partly cloudy. Overcast
2;Mainly clear. Partly cloudy. Overcast
3;Mainly clear. Partly cloudy. Overcast
45;Fog and depositing rime fog
48;Fog and depositing rime fog
51;Drizzle: Light. Moderate. Dense intensity
53;Drizzle: Light. Moderate. Dense intensity
55;Drizzle: Light. Moderate. Dense intensity
56;Freezing Drizzle: Light. Dense intensity
57;Freezing Drizzle: Light. Dense intensity
61;Rain: Slight.Moderate. Heavy intensity
63;Rain: Slight.Moderate. Heavy intensity
65;Rain: Slight.Moderate. Heavy intensity
66;Freezing Rain: Light. Heavy intensity
67;Freezing Rain: Light. Heavy intensity
71;Snow fall: Slight. Moderate. Heavy intensity
73;Snow fall: Slight. Moderate. Heavy intensity
75;Snow fall: Slight. Moderate. Heavy intensity
77;Snow grains
80;Rain showers: Slight. Moderate. Violent
81;Rain showers: Slight. Moderate. Violent
82;Rain showers: Slight. Moderate. Violent
85;Snow showers slight and heavy
86;Snow showers slight and heavy
95;Thunderstorm: Slight or moderate
96;Thunderstorm with slight and heavy hail
99;Thunderstorm with slight and heavy hail